C,solver,accuracy
0.0008764298153315224,newton-cg,0.9501607717041801
0.00010854338055058096,newton-cg,0.939978563772776
0.0007083841118146852,newton-cg,0.9480171489817792
0.0009495940810135817,newton-cg,0.9501607717041801
0.0004988039660346332,newton-cg,0.9464094319399786
0.0003997992964253023,newton-cg,0.9458735262593784
0.00034109527539058417,newton-cg,0.9448017148981779
0.0008863369755068315,newton-cg,0.9501607717041801
0.0005273280680163615,newton-cg,0.9469453376205788
0.0008289528384471003,newton-cg,0.9496248660235799
0.007010027543849644,newton-cg,0.9603429796355841
0.008756594895950057,newton-cg,0.9603429796355841
0.003815552491704302,newton-cg,0.9592711682743837
0.009803986367333178,newton-cg,0.9598070739549839
0.00810578101266143,newton-cg,0.9608788853161844
0.004436098926825756,newton-cg,0.9598070739549839
0.0033333724054329435,newton-cg,0.9581993569131833
0.002700850471336091,newton-cg,0.9571275455519829
0.008801645823212804,newton-cg,0.9603429796355841
0.0065227542266029954,newton-cg,0.9603429796355841
0.03015785708266934,newton-cg,0.9608788853161844
0.06398355149824413,newton-cg,0.9598070739549839
0.03097516797738927,newton-cg,0.9608788853161844
0.03419171190664868,newton-cg,0.9614147909967846
0.02934433742204779,newton-cg,0.9603429796355841
0.08776104838328094,newton-cg,0.9603429796355841
0.07280916405618369,newton-cg,0.9603429796355841
0.015429513241536377,newton-cg,0.9598070739549839
0.016381069047465682,newton-cg,0.9598070739549839
0.08342673287366591,newton-cg,0.9603429796355841
0.1012051803821795,newton-cg,0.9592711682743837
0.4611608646105384,newton-cg,0.9592711682743837
0.19023498519294346,newton-cg,0.9598070739549839
0.4172509642251989,newton-cg,0.9592711682743837
0.5818796569430184,newton-cg,0.9581993569131833
0.5858892402169804,newton-cg,0.9581993569131833
0.23191642187475775,newton-cg,0.9592711682743837
0.5615168271911893,newton-cg,0.9587352625937835
0.4709564899879799,newton-cg,0.9592711682743837
0.46486384093496,newton-cg,0.9592711682743837
3.8725014759539333,newton-cg,0.9544480171489818
7.433082532915199,newton-cg,0.9533762057877814
1.1725884846199741,newton-cg,0.9565916398713826
7.806920916305415,newton-cg,0.9528403001071811
9.890984543276769,newton-cg,0.9523043944265809
2.4907139732404247,newton-cg,0.9544480171489818
4.400326699126811,newton-cg,0.9533762057877814
6.6361883122773735,newton-cg,0.9539121114683816
9.699326102773709,newton-cg,0.9528403001071811
2.385536334332035,newton-cg,0.9544480171489818
21.52366004828018,newton-cg,0.9512325830653805
99.73374827922763,newton-cg,0.9501607717041801
95.18780896090118,newton-cg,0.9506966773847803
73.19060315909553,newton-cg,0.9506966773847803
77.85742252540044,newton-cg,0.9512325830653805
52.45411043295004,newton-cg,0.9506966773847803
