C,accuracy
0.00061410186538404,0.9480171489817792
0.0006820729707166354,0.9485530546623794
0.00048365897683819067,0.9464094319399786
0.0008037221224512171,0.9490889603429796
0.0008317005484252564,0.9496248660235799
0.0009223342337976792,0.9501607717041801
0.0003470687328691736,0.9448017148981779
0.0008992754099649882,0.9496248660235799
0.0005772214826204519,0.9480171489817792
0.0006797132078426995,0.9485530546623794
0.0005459295350619203,0.947481243301179
0.0008000236995222356,0.9490889603429796
0.0006347082117625349,0.9480171489817792
0.00024239614880093428,0.9437299035369775
0.0006590504798726993,0.9485530546623794
0.00030900204588107434,0.9448017148981779
0.000505217082990333,0.9464094319399786
0.0002883708854719571,0.9448017148981779
0.0008565249642373092,0.9496248660235799
0.0009290175433893338,0.9501607717041801
0.0007178760336570764,0.9480171489817792
0.00036781188454634346,0.9448017148981779
0.0002939676652860062,0.9448017148981779
0.000591006536858024,0.9480171489817792
0.0005033306986487042,0.9464094319399786
0.0005089116035030582,0.9464094319399786
0.0008509695696368508,0.9496248660235799
0.0003160231069526047,0.9448017148981779
0.00020233419315984606,0.9421221864951769
0.0008340967371434562,0.9496248660235799
0.0032482127783688476,0.9581993569131833
0.003918980250380464,0.9598070739549839
0.007041736199864782,0.9603429796355841
0.0073167666530100685,0.9608788853161844
0.0018757623507515333,0.9533762057877814
0.0027942926789538613,0.9565916398713826
0.008505555978747293,0.9608788853161844
0.003572717665293811,0.9592711682743837
0.009023721511534626,0.9603429796355841
0.0031338375568895826,0.9576634512325831
0.006721400623461186,0.9603429796355841
0.004849935667855943,0.9598070739549839
0.005228194831021587,0.9603429796355841
0.0012387419649195544,0.9517684887459807
0.0031899698924341973,0.9576634512325831
0.0038664442086596158,0.9592711682743837
0.004256500209209604,0.9598070739549839
0.0026864081668232067,0.9571275455519829
0.008185759010230522,0.9608788853161844
0.0020585600534673704,0.954983922829582
0.00494537634310785,0.9598070739549839
0.0023682980081019688,0.9571275455519829
0.008821629401030647,0.9603429796355841
0.009478172403997655,0.9598070739549839
0.00884111327052034,0.9603429796355841
0.009663164318275283,0.9598070739549839
0.008176001497154958,0.9608788853161844
0.004536007247869183,0.9598070739549839
0.0023204417308867143,0.9565916398713826
0.003301667016937414,0.9581993569131833
0.06210073197245091,0.9603429796355841
0.07099055369287981,0.9603429796355841
0.08214682207249702,0.9603429796355841
0.08935427829429853,0.9603429796355841
0.07630343672448858,0.9603429796355841
0.07762995335468839,0.9603429796355841
0.0349735364339339,0.9608788853161844
0.07336054576822179,0.9603429796355841
0.049287599548599854,0.9603429796355841
0.09654392949160151,0.9592711682743837
0.030054165003302935,0.9608788853161844
0.07827495309016552,0.9603429796355841
0.026191959825793636,0.9603429796355841
0.05153563825331598,0.9603429796355841
0.02381023278796382,0.9603429796355841
0.02660748093436982,0.9603429796355841
0.04642608101927369,0.9608788853161844
